#!,Workbook:,Custom,Custom
#!,To play this data back: Open the original Excel workbook file then click the *Import Data File* button in the *Data Streamer* ribbon and navigate to this file.
#!,For more information visit http://aka.ms/hackingstem/
3.89,7.51
7.32,7.48
9.04,7.69
5.68,7.42
7.79,7.47
10.80,7.91
8.04,7.93
4.43,7.47
1.86,6.73
5.30,6.54
10.24,7.03
16.46,8.27
10.93,8.62
12.13,9.08
8.91,9.06
6.42,8.71
7.68,8.58
9.09,8.64
7.20,8.45
13.72,9.15
13.21,9.68
5.14,9.08
9.79,9.18
6.62,8.84
22.59,10.65
23.81,12.39
7.64,11.76
8.07,11.28
3.76,10.29
7.53,9.92
10.17,9.96
8.73,9.79
15.84,10.59
-6.27,8.37
14.31,9.15
10.22,9.29
8.21,9.15
4.35,8.52
3.86,7.90
9.25,8.08
10.36,8.38
3.25,7.71
20.99,9.46
12.99,9.92
11.74,10.16
3.04,9.22
7.89,9.05
10.64,9.26
0.21,8.06
0.39,7.05
14.79,8.07
4.37,7.58
12.11,8.18
16.43,9.27
5.08,8.72
9.95,8.88
4.02,8.24
35.42,11.82
8.09,11.33
11.54,11.36
10.64,11.26
19.90,12.40
8.10,11.83
7.75,11.30
7.59,10.81
13.54,11.17
4.04,10.23
17.09,11.13
12.97,11.38
10.08,11.20
4.80,10.36
7.35,9.96
11.91,10.22
9.50,10.13
5.74,9.55
23.87,11.43
17.85,12.28
15.88,12.75
18.07,13.45
4.48,12.27
6.54,11.52
10.72,11.41
8.46,11.02
5.68,10.32
6.83,9.86
9.41,9.80
16.93,10.74
11.53,10.84
3.12,9.83
7.99,9.58
9.67,9.60
6.91,9.24
8.50,9.14
4.22,8.50
14.56,9.29
9.02,9.26
7.59,9.04
9.24,9.06
10.41,9.24
7.97,9.07
5.72,8.63
7.03,8.42
21.33,10.12
8.03,9.85
14.48,10.46
7.67,10.09
8.68,9.91
1.66,8.82
2.48,7.98
36.83,11.79
12.75,11.91
13.71,12.15
8.74,11.70
7.37,11.13
9.36,10.90
4.91,10.11
8.19,9.86
1.97,8.82
10.35,9.02
-4.19,7.28
13.16,8.05
7.82,8.02
4.98,7.62
11.35,8.11
7.93,8.09
8.50,8.14
11.23,8.55
5.65,8.17
46.90,13.27
10.21,12.87
10.68,12.58
9.60,12.19
10.57,11.97
2.85,10.77
8.73,10.50
1.95,9.38
27.29,11.74
13.87,12.02
11.48,11.95
5.00,11.03
10.98,11.02
10.88,11.01
6.41,10.40
6.78,9.92
10.06,9.94
3.61,9.11
11.98,9.48
11.50,9.75
7.87,9.50
10.41,9.62
8.02,9.41
3.76,8.67
6.96,8.44
13.74,9.14
14.09,9.79
7.30,9.46
10.91,9.65
8.52,9.50
8.80,9.41
7.10,9.11
8.29,9.00
8.55,8.94
6.56,8.63
11.28,8.98
6.68,8.67
8.03,8.59
6.27,8.28
7.26,8.15
6.55,7.94
7.13,7.83
8.31,7.89
11.89,8.42
9.55,8.57
9.69,8.72
10.86,9.00
11.08,9.27
6.99,8.97
5.92,8.57
-1.78,7.21
12.35,7.88
7.65,7.85
10.68,8.23
4.91,7.79
6.89,7.67
5.25,7.35
14.83,8.34
-0.89,7.12
12.04,7.77
8.52,7.87
12.22,8.44
10.90,8.77
10.34,8.97
4.04,8.32
4.98,7.88
33.37,11.24
13.53,11.54
11.72,11.57
22.80,13.05
7.92,12.37
3.68,11.23
12.82,11.44
7.79,10.96
4.70,10.13
7.61,9.80
2.37,8.82
12.25,9.27
8.92,9.23
34.17,12.51
4.77,11.49
6.02,10.77
8.53,10.48
9.71,10.37
10.37,10.37
10.77,10.43
10.56,10.44
8.37,10.17
9.10,10.03
7.55,9.70
3.98,8.95
3.65,8.25
12.39,8.80
9.81,8.93
10.53,9.14
5.17,8.62
7.89,8.52
7.69,8.41
10.81,8.73
8.40,8.68
5.95,8.33
10.57,8.62
14.22,9.36
10.95,9.57
8.49,9.43
7.06,9.11
7.48,8.90
9.38,8.96
7.51,8.77
9.08,8.81
9.43,8.89
8.81,8.88
10.29,9.07
10.38,9.24
3.27,8.45
4.20,7.89
13.43,8.62
6.71,8.37
2.03,7.53
7.69,7.55
7.55,7.55
8.35,7.66
3.73,7.14
11.07,7.66
12.77,8.33
12.82,8.92
11.77,9.30
14.35,9.96
15.01,10.63
