#!,Workbook:,Custom,Custom
#!,To play this data back: Open the original Excel workbook file then click the *Import Data File* button in the *Data Streamer* ribbon and navigate to this file.
#!,For more information visit http://aka.ms/hackingstem/
9.28,9.06
9.97,9.18
10.01,9.29
8.85,9.23
8.84,9.18
9.72,9.25
8.94,9.21
7.05,8.93
8.31,8.85
8.84,8.84
9.91,8.99
8.05,8.86
9.23,8.91
8.60,8.87
8.35,8.80
9.64,8.91
9.84,9.04
8.21,8.93
8.05,8.81
8.85,8.82
8.18,8.73
9.01,8.77
13.83,9.44
9.64,9.46
8.75,9.37
8.74,9.29
8.51,9.18
9.34,9.20
9.10,9.19
8.94,9.16
8.59,9.08
8.79,9.04
6.77,8.74
12.37,9.22
10.24,9.36
10.40,9.50
9.30,9.47
7.83,9.25
8.66,9.18
9.19,9.18
9.02,9.16
12.40,9.58
10.86,9.75
8.35,9.57
6.93,9.22
13.04,9.72
11.83,10.00
10.17,10.02
9.31,9.93
7.59,9.62
8.74,9.51
9.19,9.46
9.02,9.40
9.99,9.48
9.46,9.48
9.00,9.42
9.81,9.47
7.64,9.23
10.47,9.39
8.85,9.32
8.39,9.20
9.03,9.18
8.26,9.05
9.25,9.08
10.04,9.21
6.48,8.85
8.83,8.85
9.10,8.88
8.80,8.87
7.21,8.65
10.44,8.89
9.87,9.02
6.39,8.67
9.67,8.80
8.19,8.72
8.71,8.72
9.46,8.82
9.01,8.84
10.48,9.06
9.36,9.10
8.24,8.98
9.35,9.03
9.71,9.12
9.69,9.20
11.39,9.48
8.60,9.37
8.18,9.21
9.24,9.22
8.59,9.13
9.17,9.14
9.56,9.19
7.32,8.95
8.01,8.82
9.74,8.94
8.10,8.83
9.74,8.95
9.75,9.06
8.35,8.96
9.23,9.00
8.51,8.94
8.31,8.85
9.30,8.91
9.42,8.98
10.66,9.20
9.68,9.26
7.16,8.99
8.94,8.98
6.84,8.70
9.32,8.78
9.53,8.88
8.13,8.78
9.37,8.86
8.55,8.82
8.18,8.73
9.86,8.88
9.45,8.96
10.21,9.12
9.94,9.23
7.33,8.98
9.03,8.99
7.94,8.85
11.73,9.23
10.52,9.40
8.01,9.22
8.64,9.14
8.85,9.10
8.64,9.04
9.69,9.13
9.22,9.14
10.02,9.25
8.87,9.20
8.71,9.14
7.16,8.88
13.25,9.45
7.92,9.25
8.28,9.12
9.56,9.18
7.72,8.99
8.71,8.95
9.60,9.04
8.96,9.03
11.42,9.34
8.08,9.18
6.90,8.88
9.55,8.97
8.28,8.87
9.64,8.98
8.63,8.93
7.94,8.80
8.95,8.82
8.89,8.83
8.56,8.79
9.40,8.87
9.33,8.93
10.37,9.12
7.34,8.89
9.34,8.95
7.66,8.78
11.63,9.15
8.85,9.11
8.43,9.02
9.05,9.03
8.82,9.00
8.60,8.95
9.16,8.97
9.35,9.02
9.62,9.10
8.65,9.04
8.97,9.03
8.85,9.01
7.22,8.77
11.38,9.12
8.15,8.99
7.81,8.83
9.46,8.92
8.28,8.83
8.39,8.77
9.56,8.88
9.26,8.93
10.93,9.19
10.29,9.34
8.52,9.23
9.29,9.24
14.38,9.91
9.54,9.86
10.21,9.91
8.40,9.71
8.11,9.50
9.20,9.46
8.58,9.34
9.48,9.36
7.37,9.10
10.02,9.22
7.28,8.97
9.70,9.06
7.02,8.79
9.49,8.88
10.99,9.16
8.25,9.04
9.23,9.07
8.24,8.96
8.31,8.87
9.44,8.95
9.11,8.97
11.10,9.25
8.01,9.09
8.33,8.99
8.98,8.98
9.15,9.01
7.75,8.84
9.60,8.94
9.43,9.01
8.38,8.92
9.39,8.98
8.32,8.90
8.80,8.89
9.42,8.96
11.67,9.31
8.60,9.22
8.69,9.15
7.19,8.89
10.29,9.08
7.20,8.83
11.16,9.14
7.53,8.92
7.83,8.78
9.43,8.87
8.51,8.82
8.42,8.77
9.53,8.87
8.08,8.76
10.47,8.99
7.59,8.81
9.47,8.89
7.81,8.75
12.19,9.20
8.21,9.07
8.51,9.00
9.06,9.01
8.79,8.98
8.43,8.91
9.33,8.96
9.26,9.00
9.20,9.03
9.22,9.05
7.71,8.88
9.63,8.98
4.69,8.41
10.27,8.66
11.31,9.01
7.75,8.84
9.12,8.88
8.44,8.82
8.46,8.77
9.62,8.88
9.28,8.94
9.23,8.98
8.78,8.95
8.83,8.93
8.68,8.90
9.49,8.98
8.97,8.98
8.43,8.90
8.68,8.88
9.01,8.89
8.44,8.83
9.48,8.92
6.86,8.65
9.87,8.81
9.60,8.91
7.13,8.68
10.13,8.87
7.04,8.63
10.32,8.85
9.03,8.87
7.75,8.73
9.01,8.76
8.57,8.74
8.47,8.70
9.69,8.83
9.10,8.87
10.36,9.06
9.86,9.17
7.79,8.99
8.75,8.96
12.12,9.37
9.67,9.41
11.03,9.63
8.96,9.54
7.95,9.33
9.05,9.29
8.72,9.22
9.17,9.21
9.56,9.26
10.88,9.47
9.05,9.42
9.11,9.38
7.33,9.11
9.68,9.18
10.44,9.35
8.68,9.26
9.40,9.28
8.48,9.17
8.66,9.10
9.19,9.12
13.56,9.70
10.31,9.78
9.09,9.69
8.22,9.50
8.55,9.37
9.02,9.33
9.42,9.34
8.60,9.24
7.89,9.06
8.51,8.99
9.07,9.00
8.40,8.92
9.34,8.98
8.66,8.94
9.26,8.98
8.74,8.95
8.80,8.93
7.39,8.72
10.97,9.02
10.89,9.27
8.78,9.20
9.35,9.22
8.34,9.10
8.51,9.03
9.33,9.07
9.29,9.10
10.13,9.23
8.00,9.07
9.02,9.06
8.37,8.97
9.24,9.01
9.40,9.06
6.82,8.76
9.72,8.89
8.29,8.81
8.26,8.74
9.27,8.81
8.75,8.80
9.38,8.88
10.85,9.14
10.06,9.26
10.01,9.36
8.51,9.25
9.40,9.27
9.14,9.25
7.83,9.06
10.58,9.26
8.94,9.22
8.01,9.06
9.14,9.07
9.00,9.06
9.35,9.10
10.30,9.26
6.89,8.95
9.91,9.07
8.50,9.00
10.04,9.13
13.31,9.68
12.06,10.00
10.28,10.03
8.94,9.89
8.12,9.66
9.25,9.60
8.85,9.50
9.31,9.48
9.78,9.52
8.71,9.41
9.33,9.40
7.10,9.10
13.46,9.67
10.47,9.78
7.69,9.50
9.37,9.49
8.32,9.33
8.49,9.22
9.26,9.23
9.07,9.21
9.33,9.22
9.81,9.30
8.50,9.19
8.76,9.14
7.25,8.89
10.39,9.09
8.04,8.95
8.11,8.84
9.34,8.90
8.12,8.80
8.65,8.78
9.29,8.85
9.37,8.92
10.49,9.12
7.62,8.92
8.71,8.90
7.39,8.70
9.23,8.77
8.98,8.80
9.78,8.92
9.77,9.04
7.97,8.89
9.15,8.93
8.51,8.87
8.79,8.86
10.94,9.14
10.45,9.31
9.62,9.35
8.85,9.28
10.14,9.40
8.60,9.29
6.77,8.96
9.65,9.05
7.49,8.84
9.43,8.92
9.49,9.00
7.95,8.86
8.94,8.87
9.24,8.92
9.19,8.95
10.79,9.20
8.19,9.06
7.42,8.85
9.71,8.96
8.15,8.85
8.72,8.84
11.45,9.18
8.28,9.06
9.01,9.05
8.89,9.03
8.55,8.97
9.50,9.04
11.09,9.31
7.26,9.04
8.79,9.01
8.05,8.88
9.08,8.91
7.38,8.71
12.07,9.15
9.62,9.21
8.69,9.14
9.45,9.18
8.17,9.05
8.70,9.00
9.55,9.08
7.52,8.87
9.79,8.99
7.26,8.76
9.28,8.83
7.73,8.69
9.00,8.73
10.44,8.95
8.78,8.93
9.13,8.96
8.76,8.93
8.51,8.87
9.50,8.96
6.20,8.59
10.46,8.84
8.67,8.82
7.13,8.59
10.10,8.79
7.25,8.59
9.84,8.75
11.32,9.09
8.88,9.06
9.13,9.07
8.66,9.02
8.53,8.95
9.52,9.03
9.25,9.06
10.82,9.29
9.33,9.30
9.81,9.36
8.63,9.27
7.17,8.99
11.55,9.33
8.62,9.23
9.02,9.21
9.40,9.23
7.76,9.04
8.72,9.00
9.41,9.05
9.25,9.08
9.37,9.12
7.99,8.97
8.00,8.84
8.71,8.82
6.40,8.50
10.08,8.71
10.11,8.90
8.51,8.84
8.57,8.81
8.89,8.82
8.56,8.78
9.54,8.88
12.36,9.34
7.88,9.15
8.64,9.08
9.75,9.17
8.54,9.09
7.76,8.91
10.62,9.14
7.45,8.92
8.80,8.90
9.10,8.93
8.01,8.80
9.08,8.84
9.39,8.91
7.14,8.68
10.52,8.92
8.32,8.84
10.98,9.13
8.06,8.98
8.15,8.87
12.93,9.41
7.95,9.22
10.09,9.33
9.27,9.32
7.75,9.12
9.14,9.12
8.96,9.10
9.00,9.09
9.41,9.13
10.40,9.30
8.11,9.14
7.76,8.96
6.74,8.67
9.83,8.82
9.40,8.90
9.51,8.98
7.94,8.84
8.82,8.84
9.13,8.88
8.70,8.85
10.26,9.04
10.75,9.26
8.15,9.12
9.26,9.14
9.83,9.23
11.65,9.55
9.61,9.55
9.67,9.57
8.13,9.38
9.05,9.34
8.66,9.25
9.10,9.23
7.13,8.95
10.06,9.10
8.35,9.00
10.05,9.14
8.11,9.00
8.50,8.94
11.23,9.24
8.56,9.15
9.35,9.18
9.20,9.18
7.89,9.01
8.93,9.00
9.35,9.05
9.65,9.12
7.20,8.87
7.44,8.68
9.22,8.75
7.42,8.58
9.48,8.70
11.26,9.03
7.32,8.81
8.92,8.82
8.66,8.80
8.33,8.74
9.60,8.85
12.12,9.28
8.15,9.13
9.01,9.12
7.89,8.96
9.46,9.02
7.70,8.85
10.98,9.13
11.72,9.47
8.32,9.32
8.93,9.27
8.40,9.15
8.50,9.07
9.60,9.14
9.18,9.14
8.76,9.09
8.04,8.95
9.59,9.04
8.58,8.98
7.65,8.80
12.21,9.25
9.81,9.33
9.14,9.30
9.22,9.29
7.95,9.11
8.94,9.09
9.22,9.11
9.75,9.19
8.52,9.10
9.83,9.20
8.22,9.07
8.96,9.06
9.38,9.10
9.87,9.20
10.77,9.41
8.71,9.31
8.21,9.17
8.93,9.14
8.88,9.10
6.17,8.72
10.73,8.98
8.77,8.95
10.60,9.17
8.38,9.07
9.67,9.15
13.64,9.74
13.51,10.23
9.80,10.18
9.09,10.04
8.16,9.79
9.09,9.70
8.86,9.59
9.27,9.54
9.28,9.51
10.65,9.66
9.28,9.61
8.51,9.47
8.97,9.40
9.18,9.37
8.88,9.31
10.11,9.41
8.37,9.27
8.44,9.16
9.05,9.15
8.67,9.09
8.44,9.00
10.68,9.22
9.37,9.24
10.08,9.35
7.97,9.17
7.08,8.90
16.18,9.86
11.90,10.13
9.77,10.08
9.47,10.00
7.75,9.70
8.70,9.57
9.21,9.52
9.11,9.47
9.37,9.46
9.57,9.47
8.10,9.29
9.21,9.28
7.05,8.99
11.04,9.26
11.83,9.60
8.49,9.45
9.19,9.42
8.05,9.24
8.45,9.13
9.48,9.18
9.14,9.17
8.82,9.13
10.31,9.28
8.59,9.19
7.58,8.98
10.36,9.16
8.19,9.03
9.48,9.09
9.61,9.16
7.89,8.99
9.29,9.03
8.50,8.96
8.42,8.89
8.90,8.89
11.00,9.17
8.92,9.14
9.28,9.16
7.17,8.89
9.27,8.94
4.47,8.35
8.32,8.35
8.99,8.43
8.02,8.38
9.01,8.46
8.69,8.49
8.49,8.49
9.58,8.64
9.11,8.70
9.79,8.84
11.83,9.24
7.86,9.06
8.84,9.03
6.90,8.75
9.52,8.85
9.84,8.98
9.05,8.99
7.84,8.84
9.22,8.89
8.82,8.88
9.20,8.92
11.39,9.25
7.61,9.03
6.86,8.74
9.58,8.85
7.60,8.69
12.05,9.13
10.40,9.30
8.64,9.21
8.74,9.15
8.58,9.07
8.46,8.99
9.32,9.04
9.41,9.09
12.57,9.54
9.96,9.60
9.88,9.64
8.63,9.50
