#!,Workbook:,Custom,Custom
#!,To play this data back: Open the original Excel workbook file then click the *Import Data File* button in the *Data Streamer* ribbon and navigate to this file.
#!,For more information visit http://aka.ms/hackingstem/
9.11,9.13
9.05,9.12
9.21,9.13
9.05,9.12
9.05,9.11
9.20,9.12
9.17,9.13
9.04,9.12
9.36,9.15
9.28,9.17
9.05,9.15
9.26,9.17
9.19,9.17
9.08,9.16
9.09,9.15
9.12,9.15
9.00,9.13
9.12,9.13
9.09,9.12
9.07,9.11
9.37,9.15
9.24,9.16
9.09,9.15
9.33,9.17
9.14,9.17
9.16,9.17
9.17,9.17
9.19,9.17
9.09,9.16
9.24,9.17
9.20,9.18
8.89,9.14
9.24,9.15
9.24,9.16
8.93,9.13
9.32,9.16
9.27,9.17
9.07,9.16
9.23,9.17
9.24,9.18
9.03,9.16
9.23,9.17
9.28,9.18
9.00,9.16
9.31,9.18
9.22,9.18
8.98,9.16
9.32,9.18
9.34,9.20
9.01,9.18
9.27,9.19
9.21,9.19
9.00,9.16
9.30,9.18
9.26,9.19
8.97,9.16
9.24,9.17
9.21,9.18
8.95,9.15
9.17,9.15
9.20,9.16
9.10,9.15
9.32,9.17
9.19,9.17
9.00,9.15
9.22,9.16
9.23,9.17
9.01,9.15
9.26,9.16
9.29,9.18
9.09,9.17
9.13,9.16
9.30,9.18
8.98,9.15
9.17,9.16
9.21,9.16
8.96,9.14
9.23,9.15
9.16,9.15
8.95,9.12
9.26,9.14
9.21,9.15
9.02,9.13
9.12,9.13
9.31,9.16
9.02,9.14
9.29,9.16
9.23,9.17
8.93,9.14
9.22,9.15
9.17,9.15
8.94,9.12
9.14,9.12
9.19,9.13
9.03,9.12
9.15,9.12
9.28,9.14
9.11,9.14
9.17,9.14
9.28,9.16
9.03,9.14
9.18,9.15
9.15,9.15
9.06,9.14
9.19,9.14
9.17,9.15
9.10,9.14
9.11,9.14
9.15,9.14
9.18,9.14
9.10,9.14
9.05,9.13
9.08,9.12
9.13,9.12
9.22,9.13
9.17,9.14
9.27,9.16
9.16,9.16
9.17,9.16
9.19,9.16
9.06,9.15
9.14,9.15
9.06,9.14
9.10,9.13
9.05,9.12
9.14,9.12
9.22,9.14
9.23,9.15
9.19,9.15
9.13,9.15
9.04,9.14
9.10,9.13
9.21,9.14
9.14,9.14
9.17,9.14
9.00,9.12
9.21,9.14
9.09,9.13
9.12,9.13
9.12,9.13
9.29,9.15
9.18,9.15
9.27,9.17
9.11,9.16
9.18,9.16
9.21,9.17
9.09,9.16
8.98,9.14
9.21,9.15
9.17,9.15
9.15,9.15
9.13,9.15
9.18,9.15
9.13,9.15
9.22,9.16
9.04,9.14
9.12,9.14
9.38,9.17
9.01,9.15
9.06,9.14
9.23,9.15
9.18,9.15
9.12,9.15
9.23,9.16
9.18,9.16
9.25,9.18
9.16,9.17
9.07,9.16
9.22,9.17
9.32,9.19
9.05,9.17
