#!,Workbook:,Custom,Custom,,,
#!,To play this data back: Open the original Excel workbook file then click the *Import Data File* button in the *Data Streamer* ribbon and navigate to this file.,,,,,
#!,For more information visit http://aka.ms/hackingstem/,,,,,
2227391,-0.11,0.51,9.24,0.03,0.05,0.01
2227401,-0.13,0.51,9.21,0.03,0.04,0.01
2227411,-0.1,0.5,9.17,0.03,0.04,0.01
2227421,-0.09,0.5,9.3,0.03,0.02,0.01
2227431,-0.1,0.49,9.2,0.03,0,0
2227441,-0.06,0.48,9.15,0.03,0,0
2227451,-0.07,0.47,9.21,0.03,0,0.01
2227461,0.02,0.47,9.23,0.03,0,0.01
2227471,0.02,0.47,9.22,0.03,0,0.01
2227481,0.05,0.49,9.21,0.03,-0.01,0.01
2227491,0.1,0.51,9.13,0.03,-0.01,0.01
2227501,0.08,0.47,9.08,0.03,0.03,0.01
2227511,-0.04,0.44,9.12,0.03,0.08,0
2227521,-0.19,0.44,9.23,0.03,0.1,0
2227531,-0.36,0.46,9.34,0.03,0.07,0
2227541,-0.34,0.47,9.41,0.04,-0.02,0.01
2227551,-0.33,0.5,9.35,0.04,-0.11,0.01
2227561,-0.24,0.51,9.31,0.04,-0.2,0.02
2227571,-0.04,0.53,9.15,0.04,-0.24,0.02
2227581,0.14,0.55,9.09,0.04,-0.22,0.02
2227591,0.23,0.55,9,0.03,-0.15,0.01
2227601,0.32,0.55,9,0.03,-0.04,0.01
2227611,0.32,0.53,9.03,0.02,0.07,0.01
2227621,0.15,0.5,9.05,0.02,0.18,0
2227631,0.11,0.46,9.1,0.02,0.26,0
2227641,0.09,0.42,9.09,0.02,0.33,0
2227651,-0.29,0.42,9.19,-0.01,0.34,-0.01
2227661,-0.21,0.36,9.39,-0.01,0.28,0
2227671,-0.32,0.35,9.52,0,0.2,0
2227681,-0.6,0.38,9.72,0.02,0.07,0
2227691,-0.67,0.41,9.79,0.05,-0.12,0.01
2227701,-0.56,0.43,9.81,0.08,-0.31,0.01
2227711,-0.37,0.55,9.15,0.09,-0.47,0
2227721,-0.71,0.59,9.35,0.07,-0.6,0.02
2227731,-0.14,0.59,9.16,0.06,-0.68,0.04
2227741,0.51,0.63,8.83,0.05,-0.63,0.05
2227751,0.83,0.64,8.76,0.04,-0.45,0.03
2227761,0.8,0.61,8.76,0.03,-0.22,0.02
2227771,0.77,0.56,8.8,0.03,0,0.01
2227781,0.68,0.45,8.91,0.02,0.21,0
2227791,0.46,0.38,8.98,0.02,0.39,-0.01
2227801,0.21,0.33,9.07,0.01,0.5,-0.01
2227811,-0.06,0.29,9.27,0.01,0.54,-0.02
2227821,-0.26,0.31,9.45,0.02,0.51,-0.02
2227831,-0.61,0.37,9.51,0.01,0.35,-0.03
2227841,-0.79,0.39,9.88,0.03,0.08,0
2227851,-0.4,0.47,9.64,0.05,-0.14,0.01
2227861,-0.64,0.58,9.47,0.06,-0.32,0.01
2227871,-0.62,0.66,9.39,0.05,-0.51,0.03
2227881,-0.04,0.68,9.13,0.05,-0.6,0.04
2227891,0.44,0.68,8.91,0.05,-0.53,0.04
2227901,0.57,0.66,8.84,0.04,-0.38,0.03
2227911,0.66,0.59,8.83,0.03,-0.19,0.03
2227921,0.68,0.51,8.85,0.03,0.01,0.01
2227931,0.6,0.4,8.92,0.02,0.19,0.01
2227941,0.44,0.34,9,0.02,0.34,0
2227951,0.26,0.32,9.11,0.01,0.43,-0.01
2227961,0.07,0.31,9.22,0.02,0.46,-0.01
2227971,-0.13,0.37,9.36,0.02,0.44,-0.02
2227981,-0.3,0.41,9.42,0.02,0.38,-0.01
2227991,-0.69,0.49,9.56,0.02,0.24,-0.01
2228001,-0.51,0.52,9.64,0.03,0.05,0.01
2228011,-0.33,0.54,9.54,0.05,-0.09,0.01
2228021,-0.42,0.61,9.34,0.05,-0.2,0.01
2228031,-0.56,0.62,9.42,0.05,-0.35,0.02
2228041,-0.19,0.59,9.27,0.05,-0.46,0.03
2228051,0.17,0.59,9.07,0.05,-0.47,0.04
2228061,0.42,0.58,8.98,0.04,-0.4,0.03
2228071,0.59,0.52,8.88,0.04,-0.26,0.03
2228081,0.62,0.5,8.84,0.03,-0.06,0.02
2228091,0.61,0.45,8.82,0.02,0.15,0.01
2228101,0.45,0.4,8.96,0.01,0.34,0
2228111,0.29,0.36,9.05,0.01,0.47,-0.01
2228121,0.05,0.34,9.22,0.01,0.52,-0.01
2228131,-0.15,0.36,9.28,0.02,0.5,-0.01
2228141,-0.76,0.4,9.62,0,0.35,-0.01
2228151,-0.55,0.38,9.72,0.02,0.15,0
2228161,-0.55,0.44,9.68,0.04,-0.03,0
2228171,-0.46,0.51,9.66,0.06,-0.19,0.01
2228181,-0.4,0.59,9.23,0.07,-0.31,0.01
2228191,-0.56,0.65,9.26,0.06,-0.39,0.02
2228201,-0.1,0.62,9.16,0.05,-0.45,0.03
2228211,0.39,0.61,8.91,0.04,-0.39,0.04
2228221,0.62,0.58,8.86,0.04,-0.24,0.03
2228231,0.55,0.52,8.88,0.03,-0.08,0.02
2228241,0.52,0.46,8.91,0.02,0.08,0.01
2228251,0.42,0.39,8.96,0.02,0.23,0.01
2228261,0.23,0.34,9.04,0.01,0.36,0
2228271,-0.01,0.33,9.17,0.01,0.44,-0.01
2228281,-0.15,0.39,9.05,0.01,0.44,-0.02
2228291,-0.64,0.4,9.59,0,0.31,-0.01
2228301,-0.48,0.41,9.63,0.01,0.15,0
2228311,-0.51,0.47,9.66,0.03,-0.01,0.01
2228321,-0.47,0.51,9.62,0.06,-0.15,0.01
2228331,-0.25,0.57,9.38,0.07,-0.27,0.01
2228341,-0.36,0.64,9.23,0.06,-0.34,0.01
2228351,-0.33,0.61,9.21,0.05,-0.41,0.02
2228361,-0.06,0.55,9.22,0.05,-0.47,0.03
2228371,0.08,0.53,9.18,0.05,-0.49,0.03
2228381,0.21,0.49,9.14,0.05,-0.47,0.04
2228391,0.52,0.5,8.94,0.04,-0.36,0.04
2228401,0.77,0.49,8.77,0.03,-0.16,0.02
2228411,0.76,0.52,8.77,0.02,0.05,0.01
2228421,0.6,0.49,8.88,0.02,0.26,0
2228431,0.4,0.45,9.03,0.02,0.41,0
2228441,0.17,0.4,9.19,0.02,0.5,-0.01
2228451,-0.1,0.38,9.28,0.02,0.51,-0.01
2228461,-0.34,0.36,9.46,0.02,0.44,-0.02
2228471,-0.63,0.38,9.49,0.02,0.27,-0.02
2228481,-0.63,0.43,9.66,0.03,0.05,0
2228491,-0.27,0.47,9.44,0.05,-0.1,0.01
2228501,-0.41,0.57,9.38,0.05,-0.19,0.01
2228511,-0.33,0.6,9.33,0.04,-0.3,0.02
2228521,-0.02,0.61,9.21,0.05,-0.35,0.03
2228531,0.03,0.6,9.22,0.05,-0.36,0.03
2228541,0.02,0.57,9.22,0.05,-0.38,0.03
2228551,0.14,0.52,9.17,0.05,-0.38,0.03
2228561,0.36,0.48,9.03,0.04,-0.33,0.03
2228571,0.56,0.48,8.9,0.04,-0.2,0.02
2228581,0.6,0.5,8.89,0.03,-0.03,0.01
2228591,0.56,0.53,8.95,0.02,0.15,0
2228601,0.46,0.5,8.98,0.02,0.31,0
2228611,0.3,0.46,9.05,0.02,0.42,-0.01
2228621,0.09,0.43,9.19,0.02,0.49,-0.02
2228631,-0.12,0.39,9.28,0.02,0.49,-0.02
2228641,-0.25,0.37,9.19,0.02,0.43,-0.02
2228651,-0.77,0.37,9.67,0.01,0.25,-0.01
2228661,-0.53,0.36,9.73,0.03,0.04,0
2228671,-0.44,0.43,9.67,0.05,-0.14,0.01
2228681,-0.56,0.53,9.36,0.06,-0.31,0.01
2228691,-0.6,0.57,9.38,0.06,-0.48,0.03
2228701,-0.11,0.6,9.22,0.05,-0.58,0.04
2228711,0.23,0.61,9.1,0.05,-0.56,0.04
2228721,0.41,0.63,9,0.05,-0.49,0.04
2228731,0.58,0.58,8.89,0.04,-0.37,0.03
2228741,0.67,0.5,8.92,0.04,-0.21,0.02
2228751,0.57,0.46,9.01,0.03,-0.06,0.01
2228761,0.45,0.43,9.05,0.03,0.06,0.01
2228771,0.44,0.41,9.06,0.03,0.18,0
