#!,Workbook:,Custom,Custom
#!,To play this data back: Open the original Excel workbook file then click the *Import Data File* button in the *Data Streamer* ribbon and navigate to this file.
#!,For more information visit http://aka.ms/hackingstem/
2491741,2.99,-0.60,3.60,0.79,-0.01,-1.22
2491751,1.83,-0.30,2.87,0.63,0.01,-1.34
2491761,0.34,0.02,2.35,0.45,0.02,-1.44
2491771,-1.66,0.34,1.79,0.29,0.07,-1.51
2491781,-3.96,0.66,1.17,0.10,0.12,-1.50
2491791,-6.19,1.06,1.05,-0.10,0.17,-1.41
2491801,-8.39,1.40,1.16,-0.29,0.19,-1.25
2491811,-10.51,1.53,1.35,-0.48,0.19,-1.02
2491821,-12.22,1.34,1.79,-0.70,0.14,-0.71
2491831,-13.31,1.07,3.05,-0.94,0.05,-0.34
2491841,-13.79,0.83,5.35,-1.15,-0.03,0.07
2491851,-13.29,0.94,8.31,-1.24,-0.10,0.50
2491861,-12.30,1.22,11.05,-1.18,-0.10,0.92
2491871,-10.69,1.11,12.84,-1.02,-0.07,1.30
2491881,-8.49,1.14,13.86,-0.83,-0.07,1.65
2491891,-5.60,1.00,14.47,-0.65,-0.07,1.91
2491901,-2.58,0.89,14.98,-0.51,-0.06,2.06
2491911,0.72,0.52,15.79,-0.36,-0.05,2.10
2491921,3.57,0.47,16.78,-0.19,-0.04,2.01
2491931,5.84,0.40,17.35,0.03,-0.05,1.84
2491941,7.60,0.14,17.28,0.26,-0.03,1.61
2491951,8.89,-0.08,16.74,0.48,-0.01,1.34
2491961,9.88,-0.14,15.79,0.67,-0.01,1.04
2491971,10.58,-0.31,14.59,0.82,-0.02,0.73
2491981,10.91,-0.42,13.33,0.91,-0.05,0.39
2491991,10.78,-0.50,12.29,0.97,-0.09,0.05
2492001,10.01,-0.57,11.21,1.01,-0.14,-0.28
2492011,8.87,-0.72,9.94,1.03,-0.16,-0.56
2492021,7.73,-0.80,8.77,1.01,-0.15,-0.79
2492031,6.82,-0.83,7.52,0.97,-0.12,-1.00
2492041,5.52,-0.83,6.60,0.90,-0.13,-1.18
2492051,4.35,-0.88,5.77,0.82,-0.14,-1.34
2492061,2.97,-0.74,4.62,0.73,-0.14,-1.49
2492071,1.45,-0.51,3.68,0.62,-0.13,-1.59
2492081,-0.10,-0.21,2.93,0.48,-0.08,-1.66
2492091,-1.98,0.14,2.11,0.34,-0.00,-1.70
2492101,-4.03,0.67,1.44,0.17,0.03,-1.67
2492111,-5.94,1.17,0.94,-0.02,0.02,-1.56
2492121,-7.64,1.59,0.62,-0.23,0.03,-1.41
2492131,-9.16,1.92,0.70,-0.46,0.09,-1.22
2492141,-10.74,2.04,1.05,-0.71,0.15,-1.00
2492151,-12.27,1.94,2.00,-0.97,0.13,-0.72
2492161,-13.68,1.68,3.76,-1.22,0.05,-0.37
2492171,-14.45,1.63,6.60,-1.39,-0.10,0.05
2492181,-14.35,1.84,9.74,-1.41,-0.20,0.55
2492191,-12.97,1.82,12.28,-1.28,-0.22,1.06
2492201,-10.65,1.74,13.89,-1.07,-0.21,1.52
2492211,-7.34,1.49,14.55,-0.84,-0.19,1.88
2492221,-3.33,1.26,14.86,-0.63,-0.15,2.07
2492231,0.43,0.84,15.16,-0.47,-0.11,2.08
2492241,3.02,0.76,15.66,-0.33,-0.11,1.95
2492251,4.78,0.61,16.24,-0.18,-0.13,1.76
2492261,5.96,0.32,16.63,-0.01,-0.14,1.56
2492271,6.87,0.03,16.79,0.19,-0.13,1.37
2492281,7.90,-0.23,16.51,0.39,-0.12,1.17
2492291,9.13,-0.46,15.96,0.60,-0.12,0.94
2492301,10.03,-0.68,14.90,0.79,-0.09,0.65
2492311,10.42,-0.72,13.54,0.94,-0.06,0.34
2492321,10.34,-0.72,11.97,1.04,-0.06,0.02
2492331,9.70,-0.88,10.30,1.08,-0.09,-0.30
2492341,8.82,-1.05,8.64,1.05,-0.10,-0.58
2492351,7.70,-1.08,7.34,0.97,-0.10,-0.84
2492361,6.40,-0.99,6.31,0.86,-0.06,-1.06
2492371,5.12,-0.89,5.47,0.75,-0.00,-1.24
2492381,3.70,-0.78,4.65,0.64,0.04,-1.41
2492391,1.87,-0.69,3.90,0.51,0.05,-1.56
2492401,-0.42,-0.35,3.26,0.38,0.05,-1.64
2492411,-2.72,0.05,2.63,0.24,0.08,-1.64
2492421,-4.64,0.30,1.89,0.09,0.12,-1.58
2492431,-6.42,0.69,1.54,-0.12,0.12,-1.47
2492441,-8.20,1.03,1.50,-0.33,0.13,-1.33
2492451,-10.05,1.36,1.85,-0.54,0.13,-1.13
2492461,-11.75,1.57,2.48,-0.76,0.12,-0.87
2492471,-13.03,1.62,3.84,-0.95,0.06,-0.53
2492481,-13.93,1.71,5.95,-1.09,-0.01,-0.12
2492491,-13.80,1.87,8.32,-1.14,-0.06,0.36
2492501,-12.43,1.95,10.49,-1.09,-0.06,0.82
2492511,-10.02,1.89,12.20,-0.98,-0.08,1.23
2492521,-7.04,1.82,13.44,-0.82,-0.15,1.55
2492531,-3.65,1.75,14.16,-0.64,-0.21,1.75
2492541,-0.00,1.30,14.85,-0.48,-0.22,1.82
2492551,3.01,1.12,15.61,-0.34,-0.19,1.76
2492561,5.66,1.05,16.51,-0.16,-0.07,1.62
2492571,7.90,0.74,17.04,0.07,0.11,1.36
2492581,9.23,0.48,16.97,0.33,0.24,1.03
2492591,9.84,0.08,16.02,0.58,0.25,0.68
2492601,9.75,-0.46,14.57,0.75,0.19,0.34
2492611,9.19,-0.71,13.41,0.86,0.11,0.04
2492621,8.62,-0.85,12.46,0.94,0.06,-0.21
2492631,8.26,-1.04,11.39,1.01,0.07,-0.44
2492641,7.82,-1.16,10.08,1.05,0.13,-0.69
