Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
822811,-1.08,0.51,9.1,0.03,-0.01,0.01
822821,-1.07,0.52,9.1,0.03,-0.01,0.01
822831,-1.09,0.55,9.08,0.03,-0.01,0.01
822841,-1.12,0.58,9.05,0.03,-0.0,0.01
822851,-1.11,0.57,9.06,0.03,-0.01,0.0
822861,-1.1,0.54,9.07,0.03,-0.01,0.0
822871,-1.1,0.52,9.08,0.03,-0.01,0.01
822881,-1.07,0.5,9.08,0.03,-0.01,0.0
822891,-1.07,0.48,9.07,0.03,-0.01,0.0
822901,-1.06,0.48,9.09,0.03,-0.01,0.0
822911,-1.08,0.47,9.07,0.03,-0.01,0.0
822921,-1.08,0.49,9.09,0.03,-0.01,0.0
822931,-1.09,0.51,9.07,0.03,-0.01,0.0
822941,-1.08,0.51,9.1,0.03,-0.01,0.0
822951,-1.07,0.51,9.09,0.03,-0.01,0.0
822961,-1.09,0.51,9.06,0.03,-0.01,0.01
822971,-1.08,0.53,9.09,0.03,-0.01,0.0
822981,-1.09,0.53,9.07,0.03,-0.01,0.0
822991,-1.1,0.51,9.07,0.03,-0.01,0.0
823001,-1.1,0.52,9.09,0.03,-0.01,0.0
823011,-1.11,0.53,9.08,0.03,-0.01,0.0
823021,-1.1,0.5,9.07,0.03,-0.01,0.0
823031,-1.08,0.51,9.08,0.03,-0.01,0.0
823041,-1.06,0.51,9.08,0.03,-0.01,0.0
823051,-1.09,0.52,9.09,0.03,-0.01,0.0
823061,-1.11,0.52,9.05,0.03,-0.01,0.0
823071,-1.08,0.51,9.08,0.03,-0.01,0.0
823081,-1.08,0.49,9.08,0.03,-0.01,0.0
823091,-1.08,0.49,9.06,0.03,-0.01,0.0
823101,-1.09,0.49,9.07,0.03,-0.01,0.0
823111,-1.07,0.51,9.04,0.03,-0.01,0.0
823121,-1.07,0.5,9.05,0.03,-0.01,0.0
823131,-1.07,0.52,9.07,0.03,-0.01,0.0
823141,-1.08,0.52,9.06,0.03,-0.01,0.01
823151,-1.1,0.52,9.08,0.03,-0.01,0.0
823161,-1.11,0.53,9.07,0.03,-0.01,0.0
823171,-1.09,0.52,9.09,0.03,-0.01,0.0
823181,-1.09,0.51,9.1,0.04,-0.01,0.0
823191,-1.1,0.51,9.06,0.03,-0.01,0.0
823201,-1.09,0.49,9.12,0.03,-0.01,0.0
823211,-1.08,0.51,9.08,0.03,-0.01,0.0
823221,-1.08,0.52,9.09,0.03,-0.01,0.0
823231,-1.08,0.5,9.09,0.03,-0.01,0.0
823241,-1.06,0.49,9.11,0.03,-0.01,0.0
823251,-1.07,0.47,9.08,0.03,-0.01,0.0
823261,-1.07,0.48,9.09,0.03,-0.01,0.0
823271,-1.09,0.5,9.05,0.03,-0.01,0.0
823281,-1.1,0.49,9.05,0.03,-0.01,0.01
823291,-1.09,0.5,9.09,0.03,-0.01,0.01
823301,-1.09,0.51,9.1,0.03,-0.01,0.0
823311,-1.08,0.52,9.08,0.03,-0.01,0.0
823321,-1.08,0.53,9.08,0.03,-0.01,0.0
823331,-1.08,0.51,9.09,0.03,-0.01,0.0
823341,-1.07,0.5,9.08,0.03,-0.01,0.0
823351,-1.08,0.47,9.1,0.03,-0.01,0.01
823361,-1.08,0.49,9.07,0.03,-0.01,0.0
823371,-1.08,0.5,9.07,0.03,-0.01,0.0
823381,-1.09,0.51,9.08,0.03,-0.01,0.01
823391,-1.09,0.49,9.07,0.03,-0.01,0.0
823401,-1.09,0.53,9.09,0.03,-0.01,0.0
823411,-1.09,0.53,9.07,0.03,-0.01,0.0
823421,-1.09,0.54,9.05,0.03,-0.01,0.0
823431,-1.08,0.56,9.07,0.03,-0.01,0.0
823441,-1.11,0.54,9.09,0.03,-0.01,0.0
823451,-1.11,0.54,9.06,0.03,-0.01,0.0
823461,-1.11,0.52,9.06,0.03,-0.01,0.0
823471,-1.1,0.51,9.07,0.03,-0.01,0.0
823481,-1.1,0.48,9.08,0.03,-0.01,0.0
823491,-1.08,0.48,9.1,0.03,-0.01,0.0
823501,-1.09,0.49,9.08,0.03,-0.01,0.0
823511,-1.07,0.49,9.07,0.03,-0.01,0.0
823521,-1.08,0.5,9.06,0.03,-0.01,0.0
823531,-1.09,0.51,9.09,0.03,-0.01,0.01
823541,-1.1,0.52,9.07,0.03,-0.01,0.0
823551,-1.1,0.53,9.07,0.03,-0.01,0.0
823561,-1.11,0.54,9.09,0.03,-0.01,0.0
823571,-1.12,0.53,9.09,0.03,-0.01,0.0
823581,-1.08,0.53,9.07,0.03,-0.01,0.0
823591,-1.1,0.52,9.06,0.04,-0.01,0.0
823601,-1.11,0.5,9.07,0.03,-0.01,0.0
823611,-1.1,0.51,9.05,0.03,-0.01,0.0
823621,-1.09,0.51,9.06,0.03,-0.01,0.0
823631,-1.07,0.5,9.09,0.03,-0.01,0.0
823641,-1.08,0.48,9.1,0.03,-0.01,0.0
823651,-1.1,0.49,9.07,0.03,-0.01,0.0
823661,-1.09,0.48,9.06,0.03,-0.01,0.0
823671,-1.11,0.49,9.07,0.03,-0.01,0.0
823681,-1.09,0.5,9.08,0.03,-0.01,0.0
823691,-1.08,0.52,9.08,0.03,-0.01,0.0
823701,-1.08,0.53,9.07,0.03,-0.01,0.0
823711,-1.09,0.53,9.09,0.03,-0.01,0.0
823721,-1.08,0.53,9.1,0.03,-0.01,0.0
823731,-1.08,0.52,9.1,0.03,-0.01,0.0
823741,-1.09,0.51,9.02,0.03,-0.01,0.0
823751,-1.07,0.52,9.07,0.03,-0.01,0.0
823761,-1.07,0.49,9.04,0.03,-0.01,0.0
823771,-1.09,0.49,9.1,0.03,-0.0,0.0
823781,-1.12,0.49,9.09,0.03,-0.01,0.0
823791,-1.1,0.49,9.09,0.03,-0.01,0.0
823801,-1.1,0.51,9.09,0.03,-0.02,0.0
823811,-1.08,0.5,9.07,0.03,-0.02,0.0
823821,-1.07,0.51,9.06,0.03,-0.01,0.0
823831,-1.06,0.52,9.06,0.03,-0.01,0.0
823841,-1.09,0.52,9.08,0.03,-0.01,0.01
823851,-1.09,0.53,9.05,0.03,-0.01,0.0
823861,-1.09,0.53,9.07,0.03,-0.01,0.0
823871,-1.09,0.51,9.06,0.03,-0.01,0.0
823881,-1.07,0.51,9.09,0.03,-0.01,0.0
823891,-1.09,0.5,9.07,0.03,-0.01,0.01
823901,-1.1,0.51,9.06,0.03,-0.01,0.01
823911,-1.1,0.51,9.09,0.03,-0.01,0.01
823921,-1.12,0.52,9.1,0.03,-0.01,0.0
823931,-1.09,0.51,9.07,0.03,-0.01,0.0
823941,-1.08,0.51,9.08,0.03,-0.01,0.0
823951,-1.06,0.49,9.07,0.03,-0.01,0.0
823961,-1.06,0.48,9.07,0.03,-0.01,0.01
823971,-1.07,0.47,9.08,0.03,-0.01,0.0
